0	1	label	predict
3.0487	2.5656	1	1
5.4086	4.8221	2	2
1.9437	1.8532	1	1
3.9605	4.1737	2	2
4.2607	3.9854	2	2
1.8302	2.1204	1	1
2.6599	1.4592	1	1
3.2356	2.6192	1	1
5.3024	4.0452	2	2
4.3554	3.5690	2	2
2.5934	2.0731	1	1
2.4421	1.6091	1	1
2.9049	1.4263	1	1
1.6974	1.8524	1	1
3.9660	3.9385	2	2
2.3931	1.3901	1	1
2.9045	3.0647	1	1
2.8274	3.0408	1	1
1.5784	2.5156	1	1
5.5412	4.2876	2	2
2.5687	2.1708	1	1
2.9321	2.1744	1	1
4.9099	4.6240	2	2
5.4221	4.3110	2	2
2.8182	1.9085	1	1
2.4019	2.9214	1	1
2.2207	1.7052	1	1
4.3913	5.4665	2	2
5.2026	5.0138	2	2
5.0788	4.6748	2	2
1.5145	2.8329	1	1
2.1931	1.4192	1	1
3.8031	5.2017	2	2
4.0393	4.1312	2	2
2.4016	2.5534	1	1
2.6713	2.5387	1	1
1.5902	1.6454	1	1
2.9106	2.9497	1	1
4.0899	4.8801	2	2
1.9280	2.7045	1	1
4.7984	5.3978	2	2
2.5358	3.1205	1	1
4.8904	3.6957	2	2
4.9544	4.7914	2	2
4.6105	3.5243	2	2
1.3394	2.4990	1	1
1.5030	1.8425	1	1
2.1856	3.1248	1	1
4.7792	5.3316	2	2
1.6049	2.3474	1	1
2.1366	3.0482	1	1
4.4495	4.8484	2	2
5.2488	4.0496	2	2
4.1165	4.6440	2	2
1.6158	1.7969	1	1
1.6810	2.9694	1	1
5.0626	4.5669	2	2
2.4181	1.4901	1	1
2.1372	1.7187	1	1
5.3200	4.4365	2	2
2.6447	1.3009	1	1
4.9015	4.5613	2	2
2.3940	3.2336	1	1
2.1067	1.8368	1	1
4.9242	4.0985	2	2
5.5025	4.5693	2	2
4.6483	4.8655	2	2
4.9310	3.5646	2	2
1.8860	2.6316	1	1
2.9845	1.9797	1	1
3.8122	4.9155	2	2
5.0517	4.2714	2	2
2.1709	2.6365	1	1
2.7405	3.0990	1	1
1.7415	3.0113	1	1
3.7429	4.8750	2	2
1.6960	2.0182	1	1
2.1111	3.1171	1	1
4.9680	5.1461	2	2
5.0027	4.0928	2	2
2.2660	2.4249	1	1
4.5774	5.1743	2	2
2.6577	2.7594	1	1
2.9173	1.6577	1	1
2.2303	2.9647	1	1
1.8205	2.4212	1	1
2.2353	3.1916	1	1
2.0799	1.2972	1	1
4.8047	4.9686	2	2
5.3530	3.9216	2	2
5.2523	4.5066	2	2
2.0336	1.5822	1	1
3.9788	5.0201	2	2
2.0424	2.2835	1	1
4.2963	3.5323	2	2
4.7880	4.0125	2	2
5.2300	4.0885	2	2
1.8859	1.7016	1	1
4.7900	4.8146	2	2
5.1072	3.8450	2	2
2.5363	2.3364	1	1
2.7761	2.5532	1	1
4.4024	5.3650	2	2
1.5391	1.8988	1	1
4.6563	5.1791	2	2
1.7356	1.8448	1	1
5.2763	4.2212	2	2
5.0335	4.8681	2	2
