0	1	label	predict
-3.6163	0.9627	2	2
-0.0550	0.8228	2	2
-3.7616	1.4098	2	2
0.1249	2.3429	2	2
-0.1820	0.6244	2	2
-0.9627	3.6163	2	2
-3.6478	1.0346	2	2
-3.7021	2.4180	2	2
-1.8785	-0.1985	2	2
-2.7080	0.0180	2	2
-2.3429	3.7249	2	2
-2.7772	0.0550	2	2
-0.5011	3.3208	2	2
-3.5820	0.8920	2	2
-2.5654	-0.0478	2	2
-0.3314	3.1576	2	2
-0.1371	2.9111	2	2
-3.6163	2.6373	2	2
-3.6764	1.1078	2	2
0.1616	1.4098	2	2
-0.0947	0.7550	2	2
-0.4424	3.2686	2	2
-2.3429	-0.1249	2	2
-0.1371	0.6889	2	2
-3.2142	0.3858	2	2
0.1938	1.6431	2	2
0.1249	1.2571	2	2
-1.9569	-0.1938	2	2
-1.3331	3.7447	2	2
-1.5649	-0.1861	2	2
0.0478	2.5654	2	2
0.2000	1.8000	2	2
-0.6889	3.4629	2	2
0.1985	1.8785	2	2
-2.5654	3.6478	2	2
-0.7550	3.5053	2	2
-1.0346	3.6478	2	2
-3.5820	2.7080	2	2
-2.9111	0.1371	2	2
0.1938	1.9569	2	2
0.1754	2.1129	2	2
0.0478	1.0346	2	2
-2.4180	3.7021	2	2
-3.7938	1.6431	2	2
-0.2294	3.0382	2	2
-2.4180	-0.1021	2	2
-3.7985	1.7215	2	2
-0.7550	0.0947	2	2
-1.1820	3.7021	2	2
-2.8450	0.0947	2	2
0.1616	2.1902	2	2
-2.8450	3.5053	2	2
-3.3706	3.0382	2	2
-3.7861	1.5649	2	2
-1.1820	-0.1021	2	2
-0.6244	3.4180	2	2
-0.8920	3.5820	2	2
-0.2294	0.5618	2	2
-3.4629	0.6889	2	2
-3.4180	0.6244	2	2
-2.7772	3.5450	2	2
-0.1820	2.9756	2	2
-0.8228	0.0550	2	2
-2.9111	3.4629	2	2
-3.4629	2.9111	2	2
-3.0382	0.2294	2	2
0.0764	1.1078	2	2
-1.6431	3.7938	2	2
-2.6373	-0.0163	2	2
0.1754	1.4871	2	2
-3.0382	3.3706	2	2
0.1021	1.1820	2	2
-0.4424	0.3314	2	2
-0.0947	2.8450	2	2
-3.6764	2.4922	2	2
-3.6478	2.5654	2	2
-1.0346	-0.0478	2	2
-0.0550	2.7772	2	2
-3.2142	3.2142	2	2
0.0764	2.4922	2	2
-3.7938	1.9569	2	2
0.1447	2.2669	2	2
-0.0180	2.7080	2	2
-3.2686	3.1576	2	2
-2.2669	3.7447	2	2
-3.7249	2.3429	2	2
-2.0351	-0.1861	2	2
-0.5011	0.2792	2	2
-3.2686	0.4424	2	2
-3.3706	0.5618	2	2
-1.3331	-0.1447	2	2
-0.3858	0.3858	2	2
-1.8000	-0.2000	2	2
-1.9569	3.7938	2	2
-0.8228	3.5450	2	2
0.1021	2.4180	2	2
-3.1576	3.2686	2	2
-0.3858	3.2142	2	2
-1.4098	3.7616	2	2
-3.7754	1.4871	2	2
0.1447	1.3331	2	2
-3.7861	2.0351	2	2
-0.3314	0.4424	2	2
-0.5618	0.2294	2	2
-3.7754	2.1129	2	2
-2.0351	3.7861	2	2
-1.2571	3.7249	2	2
-0.0180	0.8920	2	2
-2.1902	3.7616	2	2
