0	1	label	predict
-1.0910	1.3122	1	2
-2.8724	1.6666	1	2
-1.9785	2.8969	1	2
-2.8724	2.1334	1	2
-0.9761	1.5173	1	2
-1.3775	1.0474	1	2
-1.4460	1.0090	1	2
-2.0564	2.8877	1	2
-2.8877	2.0564	1	2
-2.8969	1.8215	1	2
-2.7090	2.4878	1	2
-2.7090	1.3122	1	2
-2.4225	1.0474	1	2
-1.6666	2.8724	1	2
-2.5494	1.1396	1	2
-1.4460	2.7910	1	2
-2.5494	2.6604	1	2
-0.9276	2.1334	1	2
-2.1334	2.8724	1	2
-2.8239	1.5173	1	2
-2.8877	1.7436	1	2
-0.9031	1.8215	1	2
-1.3122	2.7090	1	2
-1.2506	2.6604	1	2
-2.7910	2.3540	1	2
-2.6071	1.1929	1	2
-0.9489	2.2090	1	2
-2.8511	1.5910	1	2
-2.4878	2.7090	1	2
-1.1396	1.2506	1	2
-1.0090	1.4460	1	2
-1.7436	2.8877	1	2
-2.4225	2.7526	1	2
-2.8511	2.2090	1	2
-2.1334	0.9276	1	2
-2.6604	2.5494	1	2
-1.5173	0.9761	1	2
-2.6071	2.6071	1	2
-1.3775	2.7526	1	2
-0.9276	1.6666	1	2
-2.7526	2.4225	1	2
-1.7436	0.9123	1	2
-2.3540	1.0090	1	2
-1.5910	2.8511	1	2
-2.9000	1.9000	1	2
-0.9000	1.9000	1	2
-1.0474	1.3775	1	2
-1.0910	2.4878	1	2
-1.5910	0.9489	1	2
-1.5173	2.8239	1	2
-1.1396	2.5494	1	2
