0	1	2	3	label	predict
46.0000	32.0000	14.0000	2.0000	1	1
60.0000	22.0000	40.0000	11.0000	3	3
54.0000	34.0000	15.0000	4.0000	1	1
51.0000	38.0000	16.0000	2.0000	1	1
50.0000	23.0000	33.0000	10.0000	3	3
49.0000	30.0000	14.0000	2.0000	1	1
61.0000	28.0000	40.0000	13.0000	3	3
51.0000	34.0000	15.0000	2.0000	1	1
55.0000	24.0000	37.0000	10.0000	3	3
55.0000	23.0000	40.0000	13.0000	3	3
54.0000	30.0000	45.0000	15.0000	3	3
51.0000	38.0000	15.0000	3.0000	1	1
58.0000	26.0000	40.0000	12.0000	3	3
54.0000	34.0000	17.0000	2.0000	1	1
56.0000	30.0000	41.0000	13.0000	3	3
59.0000	30.0000	42.0000	15.0000	3	3
55.0000	25.0000	40.0000	13.0000	3	3
52.0000	41.0000	15.0000	1.0000	1	1
58.0000	27.0000	39.0000	12.0000	3	3
61.0000	29.0000	47.0000	14.0000	3	3
48.0000	30.0000	14.0000	3.0000	1	1
44.0000	29.0000	14.0000	2.0000	1	1
46.0000	34.0000	14.0000	3.0000	1	1
49.0000	24.0000	33.0000	10.0000	3	3
69.0000	31.0000	49.0000	15.0000	3	3
62.0000	29.0000	43.0000	13.0000	3	3
62.0000	22.0000	45.0000	15.0000	3	3
47.0000	32.0000	16.0000	2.0000	1	1
51.0000	33.0000	17.0000	5.0000	1	1
46.0000	31.0000	15.0000	2.0000	1	1
57.0000	44.0000	15.0000	4.0000	1	1
67.0000	30.0000	50.0000	17.0000	3	3
53.0000	37.0000	15.0000	2.0000	1	1
48.0000	34.0000	16.0000	2.0000	1	1
64.0000	32.0000	45.0000	15.0000	3	3
60.0000	27.0000	51.0000	16.0000	3	3
60.0000	34.0000	45.0000	16.0000	3	3
52.0000	27.0000	39.0000	14.0000	3	3
57.0000	28.0000	45.0000	13.0000	3	3
70.0000	32.0000	47.0000	14.0000	3	3
49.0000	36.0000	14.0000	1.0000	1	1
56.0000	30.0000	45.0000	15.0000	3	3
64.0000	29.0000	43.0000	13.0000	3	3
48.0000	31.0000	16.0000	2.0000	1	1
57.0000	30.0000	42.0000	12.0000	3	3
66.0000	29.0000	46.0000	13.0000	3	3
55.0000	35.0000	13.0000	2.0000	1	1
57.0000	38.0000	17.0000	3.0000	1	1
56.0000	25.0000	39.0000	11.0000	3	3
60.0000	29.0000	45.0000	15.0000	3	3
48.0000	30.0000	14.0000	1.0000	1	1
45.0000	23.0000	13.0000	3.0000	1	1
50.0000	35.0000	13.0000	3.0000	1	1
49.0000	31.0000	15.0000	2.0000	1	1
50.0000	30.0000	16.0000	2.0000	1	1
47.0000	32.0000	13.0000	2.0000	1	1
54.0000	37.0000	15.0000	2.0000	1	1
50.0000	33.0000	14.0000	2.0000	1	1
59.0000	32.0000	48.0000	18.0000	3	3
52.0000	35.0000	15.0000	2.0000	1	1
67.0000	31.0000	47.0000	15.0000	3	3
51.0000	35.0000	14.0000	2.0000	1	1
51.0000	35.0000	14.0000	3.0000	1	1
46.0000	36.0000	10.0000	2.0000	1	1
