0	1	label	predict
-18.1500	6.1660	2	2
5.2050	-2.8330	1	1
-6.6280	21.2270	2	2
-14.1480	3.8680	2	2
-3.4720	-3.9560	1	1
-21.0520	12.1720	2	2
-2.8550	17.1650	2	2
-20.9160	12.8340	2	2
-2.7710	16.5590	2	2
-10.1710	3.5710	2	2
-3.8340	18.8490	2	2
5.7950	-1.7910	1	1
-12.2450	3.5360	2	2
4.8370	3.3100	1	1
-13.8050	3.7820	2	2
-2.7580	4.3930	1	1
-11.8700	3.5130	2	2
-2.0150	11.6780	2	2
5.7710	1.3310	1	1
4.8450	3.1550	1	1
-3.9910	3.3860	1	1
-3.4460	7.9660	2	2
-2.1650	14.8130	2	2
-2.6320	16.2490	2	2
-3.8550	3.3860	1	1
-6.9360	21.3880	2	2
-19.3430	18.4490	2	2
4.7540	-3.5350	1	1
-3.8100	3.3100	1	1
-15.6560	21.5390	2	2
0.3440	-5.4990	1	1
-3.2710	4.0220	1	1
1.2420	5.4460	1	1
-1.7260	5.0250	1	1
-6.4320	4.9440	2	2
3.7660	-4.4500	1	1
-3.8430	-3.5350	1	1
3.2720	4.7630	1	1
-2.2120	10.7020	2	2
-19.2920	18.1740	2	2
-2.1080	11.5140	2	2
4.4550	3.6080	1	1
5.9440	0.8600	1	1
-15.9390	21.3880	2	2
3.3250	4.6130	1	1
-6.9550	21.3880	2	2
-4.9460	0.3840	1	1
-1.4880	5.1680	1	1
-2.6130	-4.6130	1	1
-16.7080	5.1240	2	2
-4.9410	-1.2370	1	1
5.2890	2.7500	1	1
-1.7670	-4.9850	1	1
2.8410	-4.9010	1	1
-20.7880	15.2980	2	2
-21.0520	12.1720	2	2
-3.3340	8.2500	2	2
2.3450	-5.2000	1	1
-19.4570	18.0340	2	2
-13.6510	3.7820	2	2
-2.2480	15.2980	2	2
-2.4470	4.7140	1	1
5.9490	0.0960	1	1
-5.3140	20.2770	2	2
4.8680	-3.2330	1	1
-2.3160	4.7140	1	1
-4.1650	2.9150	1	1
-4.3540	6.6430	2	2
-2.5560	9.2880	2	2
-3.2660	8.1070	2	2
-19.7870	8.3940	2	2
-1.9430	14.4860	2	2
0.7000	5.4870	1	1
3.6980	-4.3930	1	1
-4.6800	2.0600	1	1
-18.5430	19.2330	2	2
5.8320	1.5160	1	1
-1.3680	-5.1680	1	1
-16.2760	21.1430	2	2
5.8700	0.5750	1	1
-9.6240	22.3250	2	2
-3.7250	7.4160	2	2
-5.1670	-0.4790	1	1
5.8330	0.2880	1	1
-16.3800	21.0560	2	2
-7.1350	4.5350	2	2
-18.9250	7.2830	2	2
-9.0170	3.8240	2	2
-14.7340	21.9270	2	2
5.7200	1.5160	1	1
4.0150	4.2130	1	1
4.5730	-3.6800	1	1
-1.9570	13.0000	2	2
-5.3540	20.2770	2	2
0.0040	-5.4790	1	1
4.1990	4.0870	1	1
0.7440	5.4870	1	1
-17.0270	5.3140	2	2
3.0860	4.8560	1	1
-2.1800	14.4860	2	2
1.7660	-5.3370	1	1
-19.3320	7.5510	2	2
-1.9630	14.4860	2	2
-4.8610	-0.6700	1	1
-1.8890	13.8280	2	2
-4.9090	1.2370	1	1
-1.2620	-5.2600	1	1
1.5160	5.3990	1	1
5.4210	2.0600	1	1
-1.2440	-5.2000	1	1
6.0060	0.8600	1	1
-16.1570	21.2270	2	2
-2.3870	15.7780	2	2
-18.4620	6.5210	2	2
-5.0450	0.4790	1	1
5.9890	-1.0490	1	1
-18.9010	18.8490	2	2
5.5080	-2.0600	1	1
-2.0780	12.3370	2	2
-12.2020	22.4770	2	2
-2.1450	11.0250	2	2
-2.2570	4.7630	1	1
-10.4130	22.4480	2	2
-1.9190	14.1580	2	2
-5.1670	-0.4790	1	1
-8.2530	4.0180	2	2
-6.3530	20.9670	2	2
-2.3610	4.6640	1	1
-15.1860	4.2550	2	2
-11.9850	3.5230	2	2
1.8470	-5.3130	1	1
-20.8360	13.6630	2	2
-9.1270	3.8240	2	2
-10.8130	3.5230	2	2
-2.7190	4.3930	1	1
-5.9840	5.2180	2	2
-14.9520	4.1310	2	2
1.5120	5.3990	1	1
-11.5640	22.5000	2	2
4.4020	3.8210	1	1
-2.8070	9.2880	2	2
-10.1010	22.4080	2	2
-16.9160	5.2180	2	2
-3.6240	3.6080	1	1
5.3780	2.6660	1	1
-1.6180	-5.1350	1	1
5.6620	-2.1490	1	1
5.5860	-2.1490	1	1
-9.4070	22.2570	2	2
-20.4610	15.6190	2	2
-13.2920	3.7080	2	2
1.5640	-5.3800	1	1
-3.7960	7.4160	2	2
-2.8240	-4.3340	1	1
-14.3320	3.9150	2	2
-9.5170	22.3250	2	2
-20.9300	13.8280	2	2
1.3610	5.4320	1	1
-4.4900	-2.5820	1	1
-19.2280	7.6880	2	2
-3.2030	8.1070	2	2
-4.7540	19.7180	2	2
5.2330	-2.5820	1	1
-4.9160	0.0000	1	1
-9.0380	3.7820	2	2
-3.7350	7.5510	2	2
-16.6910	5.0330	2	2
3.0670	4.8560	1	1
-4.5470	2.5820	1	1
-19.8540	8.8350	2	2
-19.9870	17.0150	2	2
-5.1520	20.1700	2	2
-4.9560	-1.1430	1	1
2.4910	5.1000	1	1
5.1020	-2.7500	1	1
1.6190	5.3990	1	1
-11.1680	3.5010	2	2
4.9140	3.3860	1	1
-4.4860	19.4790	2	2
-3.8680	18.7170	2	2
-9.5040	3.7080	2	2
-11.0370	3.5060	2	2
3.3490	-4.6640	1	1
-20.7310	11.8420	2	2
4.8070	-3.1550	1	1
-5.0080	-1.3310	1	1
-20.8160	13.0000	2	2
-4.5200	19.3570	2	2
-20.7390	10.8630	2	2
0.1940	-5.4870	1	1
-4.1660	3.1550	1	1
3.9750	4.2130	1	1
-15.1230	4.1920	2	2
4.1230	4.1510	1	1
-14.6360	4.0730	2	2
-1.7230	-5.0630	1	1
5.8090	1.0490	1	1
-2.1700	10.8630	2	2
-9.9130	22.3830	2	2
5.8390	-1.0490	1	1
-11.6260	3.5010	2	2
-17.9690	6.0520	2	2
5.7690	0.8600	1	1
4.4880	3.7510	1	1
-4.7160	1.5160	1	1
-7.2430	4.5350	2	2
-6.4130	21.1430	2	2
-2.0720	13.4970	2	2
-20.7680	11.0250	2	2
-3.6360	-3.7510	1	1
