0	1	label	predict
0.2940	3.3950	2	2
0.2000	6.8580	2	2
-0.3230	4.7980	2	2
-0.3110	4.0830	2	2
3.3740	0.5340	1	1
0.3500	5.1680	2	2
0.6950	0.9760	1	1
0.8480	1.0220	1	1
-0.2470	6.5630	2	2
0.2330	2.5550	2	2
-1.0450	0.9290	1	1
0.1700	0.9550	1	1
-0.1820	7.0020	2	2
-2.2750	-0.7760	1	1
-0.3490	4.6420	2	2
-3.0070	-0.6490	1	1
1.9280	-0.8590	1	1
-0.1010	-1.0350	1	1
-3.5170	-0.4680	1	1
-2.3310	-0.8570	1	1
-2.3760	0.7590	1	1
1.2940	0.9500	1	1
3.7060	0.3810	1	1
-2.2180	-0.8750	1	1
0.2940	5.7910	2	2
-0.3290	3.6340	2	2
0.3420	4.9150	2	2
-0.2870	5.9660	2	2
0.2110	2.2120	2	2
-1.7300	0.8750	1	1
2.8920	0.6540	1	1
3.3630	0.5710	1	1
2.4400	0.8380	1	1
0.3370	3.9090	2	2
-0.2410	6.4920	2	2
0.2010	6.9310	2	2
1.4600	0.8920	1	1
-0.3300	-0.9560	1	1
-2.9720	-0.6880	1	1
3.9600	0.1480	1	1
-0.1250	1.7390	2	2
-2.8860	-0.7160	1	1
2.1560	0.8220	1	1
0.2040	-0.9940	1	1
-0.3020	3.9830	2	2
0.6940	0.9920	1	1
-2.2440	-0.8450	1	1
-0.1250	-1.0460	1	1
-0.7420	0.9890	1	1
-1.9560	0.9110	1	1
2.2760	0.8500	1	1
0.0340	-1.0120	1	1
0.0860	1.6640	2	2
-0.0210	7.5750	2	2
-0.3030	3.4430	2	2
-0.2690	6.4510	2	2
-0.2600	2.7140	2	2
-0.3490	4.0530	2	2
-2.4570	-0.7650	1	1
0.2250	2.4920	2	2
-0.6690	0.9520	1	1
-1.9070	0.9250	1	1
-0.3410	5.0280	2	2
-0.3160	3.4280	2	2
-0.1400	7.3560	2	2
-0.3110	6.1390	2	2
0.2290	2.2950	2	2
0.6120	0.9960	1	1
-2.0880	0.8080	1	1
-0.1010	7.4150	2	2
0.1430	1.8760	2	2
-3.5210	0.4500	1	1
-2.3560	0.7760	1	1
0.9320	0.9290	1	1
2.5470	0.7460	1	1
-0.2940	3.5570	2	2
0.3080	4.9920	2	2
-0.3260	5.0740	2	2
-2.3360	0.8220	1	1
-1.6180	0.8920	1	1
-0.4320	1.0420	1	1
0.3270	-0.9560	1	1
2.3230	0.7800	1	1
-0.3320	4.7640	2	2
2.2570	-0.8660	1	1
-1.6130	-0.9010	1	1
3.9340	-0.1430	1	1
3.1250	0.6200	1	1
-1.2460	-0.9240	1	1
0.1120	7.3480	2	2
-3.9270	-0.2310	1	1
-0.2720	3.0190	2	2
2.8920	-0.7340	1	1
-0.2630	6.1550	2	2
3.2900	-0.5210	1	1
1.1560	-0.9880	1	1
1.8480	0.9210	1	1
1.6600	-0.8850	1	1
0.3100	3.8020	2	2
3.7040	-0.3800	1	1
1.1170	-0.9680	1	1
-1.3930	0.9070	1	1
-3.2160	0.5870	1	1
2.4710	-0.7740	1	1
-0.1630	1.0380	1	1
-0.3280	4.5910	2	2
0.3110	1.0300	1	1
-2.1720	-0.8560	1	1
0.2850	6.3840	2	2
-1.6340	-0.9480	1	1
1.2810	0.9410	1	1
-0.3270	5.1430	2	2
-0.5260	-1.0190	1	1
-1.8000	0.9040	1	1
-0.2300	0.9520	1	1
-1.1910	0.9350	1	1
-1.7380	-0.8970	1	1
-2.0890	0.8440	1	1
0.2570	2.8630	2	2
-0.0650	7.5280	2	2
2.7740	-0.7370	1	1
2.3090	0.8550	1	1
-0.3150	5.9270	2	2
-2.6150	-0.7090	1	1
-2.2350	0.7910	1	1
3.3150	0.5960	1	1
0.2900	5.9230	2	2
-0.5810	-1.0250	1	1
0.2250	6.6890	2	2
0.3320	4.9080	2	2
-0.3490	4.0730	2	2
0.0720	7.5380	2	2
-3.5470	-0.4660	1	1
0.5390	-0.9410	1	1
-2.0200	-0.8410	1	1
-2.4210	-0.8040	1	1
-0.2410	2.6420	2	2
1.0570	-0.9590	1	1
-1.7530	0.9460	1	1
-1.4720	-0.8960	1	1
0.3370	4.0880	2	2
-0.3080	4.8360	2	2
-0.3080	5.4990	2	2
-0.2350	-1.0060	1	1
2.5830	-0.7870	1	1
-0.3150	3.2700	2	2
2.9630	-0.6520	1	1
-1.9510	-0.8790	1	1
-0.3160	3.5800	2	2
-3.9360	0.2210	1	1
0.3000	5.6700	2	2
3.0770	-0.6260	1	1
-3.0930	0.6480	1	1
2.4730	-0.7400	1	1
0.2360	6.8810	2	2
3.3420	0.5960	1	1
-0.2920	3.0070	2	2
0.3010	5.3700	2	2
-0.8400	1.0110	1	1
0.7740	-0.9370	1	1
1.9750	-0.9170	1	1
1.0950	-0.9250	1	1
0.0710	1.6440	2	2
0.3190	5.2440	2	2
-0.3330	3.8860	2	2
1.7480	0.8520	1	1
0.1810	2.0790	2	2
0.3020	2.9740	2	2
1.2840	-0.9240	1	1
0.1650	1.9820	2	2
3.9180	-0.2130	1	1
