0	1	label	predict
0.6800	-0.0300	1	1
-3.4200	-0.3300	2	2
-4.1000	-0.3500	2	2
-1.0800	-2.3600	2	2
1.8200	-0.5800	1	1
-0.4500	-1.7900	2	2
-0.9200	-1.7200	2	2
-2.8600	0.2800	2	2
-0.2400	3.2600	2	2
-0.9800	-1.7900	2	2
-1.7700	-2.7000	2	2
-3.2000	0.1400	2	2
1.1700	0.4000	1	1
0.7500	0.4100	1	1
-3.4000	-0.7800	2	2
1.1900	-0.4700	1	1
2.0800	0.1600	1	1
-1.4600	-0.0200	2	2
-3.3000	0.8700	2	2
1.9400	-0.8800	1	1
-4.2900	-0.6000	2	2
1.3300	0.1500	1	1
2.0800	-0.0400	1	1
-3.0000	-0.1700	2	2
-0.8100	-3.2000	2	2
0.9700	-0.4200	1	1
1.2100	0.4500	1	1
1.6500	-0.6200	1	1
-0.5800	-3.3600	2	2
-0.9900	-2.7400	2	2
1.5200	0.3300	1	1
-1.2000	-3.0400	2	2
-0.1700	-2.4100	2	2
-1.7100	-2.3100	2	2
0.7000	0.3700	1	1
-3.3500	-0.2100	2	2
-3.2900	-0.6400	2	2
1.6700	0.9600	1	1
-4.2100	-0.5100	2	2
-0.0300	-2.6600	2	2
-0.3100	-3.1400	2	2
-1.5500	-1.8500	2	2
-0.1600	-2.5000	2	2
1.5100	0.4600	1	1
1.3200	0.8900	1	1
1.3100	-0.9100	1	1
-3.7500	-0.1400	2	2
-3.4900	-0.7700	2	2
1.6300	-0.4500	1	1
-2.5400	-0.1800	2	2
-0.0700	-2.6700	2	2
-1.5700	-2.2500	2	2
-0.6100	-3.3900	2	2
-3.3700	-0.3100	2	2
2.0900	0.1200	1	1
-1.0200	-3.3700	2	2
-3.6000	0.2000	2	2
1.3000	-0.2500	1	1
-4.0800	-0.6200	2	2
-0.0800	3.0200	2	2
-0.2700	3.0100	2	2
1.5500	0.4700	1	1
1.0200	0.6000	1	1
2.4700	0.1300	1	1
-0.4200	3.4700	2	2
-3.9600	0.0000	2	2
-0.6000	-2.7800	2	2
-3.8600	-0.3800	2	2
-1.5500	-3.1100	2	2
0.9600	0.2900	1	1
-1.8900	-2.6100	2	2
-2.7600	-0.3900	2	2
-3.8300	-0.3000	2	2
-0.6400	-1.9800	2	2
-1.2200	-2.6600	2	2
-4.0400	-0.0600	2	2
-4.1400	0.5300	2	2
-1.3200	-3.3300	2	2
-3.4900	-0.4000	2	2
0.9900	-0.5500	1	1
1.7000	0.9000	1	1
1.2200	-0.9600	1	1
-0.6700	0.2200	2	2
0.6400	0.4100	1	1
-3.6400	0.7000	2	2
-1.4900	-3.0800	2	2
-2.9200	-0.0200	2	2
1.5300	-0.7400	1	1
-2.7400	0.5700	2	2
-3.2800	0.5700	2	2
-0.5600	-1.9100	2	2
-0.3000	2.8500	2	2
2.2100	0.0100	1	1
-4.0700	0.7400	2	2
-1.3700	-3.0200	2	2
-1.2600	-2.6800	2	2
2.2600	-0.1700	1	1
-3.8500	0.5200	2	2
-0.4000	2.6400	2	2
-3.4800	0.8400	2	2
-3.2000	-0.3000	2	2
-1.4600	-0.1600	2	2
-0.7600	-2.4200	2	2
-3.7400	0.2800	2	2
1.8900	0.6900	1	1
-3.9300	-0.0900	2	2
-0.5000	-2.8100	2	2
1.2300	0.3000	1	1
1.5800	0.2600	1	1
-4.0900	0.7800	2	2
1.2400	0.9500	1	1
-0.1900	-2.1000	2	2
-0.6200	-3.2300	2	2
-1.2400	-3.0600	2	2
-0.1300	2.9000	2	2
-3.0900	-0.4200	2	2
-3.9200	-0.4400	2	2
0.7300	0.5200	1	1
-0.7400	2.7000	2	2
1.3700	0.7500	1	1
