0	1	2	3	4	5	6	7	label	predict
9.0000	5.0000	6.0000	7.0000	10.0000	9.0000	7.0000	5.0000	3	3
7.0000	6.0000	6.0000	5.0000	3.0000	2.0000	5.0000	4.0000	2	2
7.0000	10.0000	5.0000	5.0000	8.0000	7.0000	1.0000	20.0000	1	1
10.0000	4.0000	4.0000	4.0000	8.0000	8.0000	3.0000	10.0000	3	3
7.0000	7.0000	7.0000	7.0000	5.0000	6.0000	5.0000	5.0000	2	2
7.0000	7.0000	6.0000	7.0000	7.0000	7.0000	1.0000	1.0000	1	1
7.0000	10.0000	6.0000	6.0000	6.0000	8.0000	3.0000	3.0000	1	1
6.0000	8.0000	7.0000	5.0000	5.0000	6.0000	2.0000	2.0000	2	2
6.0000	6.0000	5.0000	5.0000	4.0000	3.0000	4.0000	5.0000	2	2
6.0000	6.0000	7.0000	7.0000	8.0000	8.0000	3.0000	2.0000	1	1
8.0000	7.0000	6.0000	6.0000	8.0000	7.0000	2.0000	0.0000	1	1
10.0000	5.0000	6.0000	4.0000	9.0000	9.0000	6.0000	11.0000	3	3
5.0000	13.0000	6.0000	4.0000	6.0000	13.0000	3.0000	13.0000	1	1
8.0000	8.0000	7.0000	6.0000	7.0000	6.0000	4.0000	4.0000	2	2
10.0000	7.0000	4.0000	4.0000	9.0000	9.0000	3.0000	9.0000	3	3
7.0000	8.0000	6.0000	5.0000	4.0000	6.0000	2.0000	4.0000	2	2
7.0000	7.0000	8.0000	7.0000	5.0000	6.0000	4.0000	5.0000	2	2
6.0000	10.0000	5.0000	2.0000	6.0000	8.0000	1.0000	2.0000	1	1
7.0000	6.0000	7.0000	6.0000	3.0000	4.0000	6.0000	5.0000	2	2
11.0000	8.0000	7.0000	10.0000	11.0000	10.0000	6.0000	9.0000	3	3
0.0000	5.0000	11.0000	6.0000	9.0000	11.0000	5.0000	9.0000	3	3
5.0000	5.0000	5.0000	12.0000	10.0000	7.0000	2.0000	3.0000	1	1
6.0000	7.0000	11.0000	6.0000	8.0000	11.0000	7.0000	10.0000	3	3
0.0000	8.0000	7.0000	6.0000	6.0000	7.0000	2.0000	4.0000	2	2
9.0000	7.0000	7.0000	6.0000	8.0000	6.0000	4.0000	3.0000	2	2
7.0000	6.0000	7.0000	5.0000	5.0000	5.0000	4.0000	3.0000	2	2
7.0000	13.0000	5.0000	5.0000	6.0000	13.0000	2.0000	3.0000	1	1
7.0000	7.0000	5.0000	6.0000	3.0000	3.0000	4.0000	6.0000	2	2
5.0000	7.0000	8.0000	7.0000	8.0000	9.0000	9.0000	8.0000	3	3
7.0000	8.0000	4.0000	4.0000	7.0000	6.0000	2.0000	3.0000	1	1
