0	1	2	3	4	5	6	7	8	9	label	predict
5.6997	5.6976	6.1504	6.1919	6.1157	-5.2132	-4.9773	-5.4045	-4.5794	-4.8552	4	4
5.9987	6.0263	5.9084	6.1506	5.9595	6.0687	6.1542	5.9138	5.8681	5.9840	3	3
-5.0539	-5.0170	-5.0380	-4.8144	-5.1052	-4.9270	-4.8953	-4.9214	-4.8198	-4.8433	2	2
-4.8906	-5.1857	-5.0835	-5.1116	-4.8933	-4.6900	-5.1765	-5.2737	-4.8876	-4.9437	2	2
5.7550	5.7301	6.1503	5.7419	5.6703	6.4670	6.1516	6.2362	6.1097	5.5934	3	3
0.2309	-0.1443	0.1825	-0.0902	-0.1749	-0.0828	0.1319	-0.2252	0.3010	0.1413	1	1
6.3370	5.9854	5.9335	5.7235	5.7238	-4.5769	-4.8341	-4.7348	-4.7630	-4.9761	4	4
6.0051	5.8003	5.5103	6.1358	6.0970	-4.8484	-5.0616	-5.1043	-4.8128	-5.0869	4	4
-4.9952	-4.5970	-4.5643	-4.6656	-4.8330	-5.3062	-5.0253	-5.0281	-5.1842	-5.0254	2	2
6.0409	6.0873	6.0065	5.8927	5.8653	-5.0584	-5.0381	-5.1069	-5.0989	-4.8413	4	4
-4.7431	-5.1678	-5.2083	-4.8640	-4.5884	-4.5922	-5.3273	-4.9587	-5.2935	-5.2866	2	2
6.0499	6.3514	6.1866	5.9166	5.9926	-5.0143	-5.4535	-5.0854	-4.5519	-5.3964	4	4
6.2798	6.3046	6.2360	5.6747	5.5358	5.7414	5.9236	6.0842	5.6368	6.3248	3	3
0.3648	0.1598	-0.3571	0.3639	-0.2646	-0.1850	0.2823	-0.3253	0.1987	0.0234	1	1
-5.4896	-4.5272	-5.1037	-5.1412	-4.8957	-4.9711	-4.7001	-5.2146	-4.8413	-5.3149	2	2
-5.1610	-5.3269	-5.1941	-4.8395	-5.3886	-4.7259	-4.5311	-5.4121	-4.5108	-4.7390	2	2
-0.1040	0.1829	0.0300	0.2770	-0.2489	-0.0656	0.0120	-0.1269	-0.2251	0.0355	1	1
6.1924	6.2698	6.1955	6.1783	5.9307	-5.1726	-5.4250	-5.0158	-5.3298	-4.7855	4	4
-0.3556	-0.4546	-0.0763	0.2708	0.4251	0.1500	-0.0002	-0.4600	-0.1232	0.2997	1	1
