0	1	2	label	predict
-4.0620	-6.2888	-5.2067	4	4
7.3506	7.8072	6.1607	3	3
0.2535	1.7862	2.2433	2	2
0.0628	0.6735	1.8678	2	2
7.4973	6.6362	5.8579	3	3
-9.7242	-9.4803	-9.8173	1	1
-4.0752	-6.4612	-5.2272	4	4
-3.5858	-6.6483	-4.5819	4	4
0.7826	0.6796	1.1324	2	2
-3.4445	-5.4963	-4.5615	4	4
0.3725	1.4188	1.4996	2	2
-3.4194	-6.6290	-5.4034	4	4
8.0346	7.0489	5.7639	3	3
-9.4537	-8.9808	-9.2770	1	1
-0.2377	1.6898	2.9288	2	2
-0.3711	1.9495	1.7288	2	2
-9.4194	-8.1636	-9.8613	1	1
-3.5305	-5.2143	-4.7650	4	4
-8.8808	-9.0212	-9.0720	1	1
-8.3766	-8.7632	-8.5706	1	1
0.2320	1.1238	2.4687	2	2
7.9180	6.6140	6.3273	3	3
-9.9802	-8.3247	-9.5883	1	1
-4.1616	-6.3619	-5.5059	4	4
-0.0668	0.4573	1.7199	2	2
-9.1889	-9.1239	-9.0354	1	1
0.0212	0.0198	1.1868	2	2
-0.1353	0.9023	2.3879	2	2
-4.2641	-5.6905	-4.9920	4	4
-9.0407	-9.2076	-8.9123	1	1
-8.0296	-8.2369	-8.0323	1	1
-8.9520	-9.4627	-9.4287	1	1
8.0181	6.4686	6.0613	3	3
-4.0345	-6.4739	-4.9454	4	4
-9.7942	-8.5943	-9.4646	1	1
-3.1064	-6.1108	-4.6847	4	4
-4.6871	-6.0415	-5.5449	4	4
-3.0499	-5.6047	-4.1077	4	4
-8.5755	-9.1673	-8.6428	1	1
8.1654	7.0221	6.0415	3	3
0.3323	1.3352	1.5829	2	2
-3.2815	-6.9899	-4.5637	4	4
-3.6585	-5.5587	-5.0486	4	4
-8.9524	-9.1883	-8.9154	1	1
7.2889	7.1584	6.4898	3	3
8.7394	6.4197	5.7181	3	3
0.5068	1.1221	2.3443	2	2
-3.3888	-5.2017	-4.4050	4	4
-3.7490	-6.2225	-4.6719	4	4
7.4570	6.9138	6.2007	3	3
-4.5528	-6.2605	-5.3479	4	4
-8.6985	-9.2536	-8.8205	1	1
8.5135	7.2295	5.6306	3	3
-8.9491	-8.8664	-8.7453	1	1
-9.3992	-9.1225	-9.3403	1	1
7.0693	7.3122	6.1142	3	3
-0.4046	1.9647	2.8519	2	2
7.8681	6.5875	6.5568	3	3
-9.4045	-8.4141	-9.1821	1	1
7.3934	6.3916	5.7738	3	3
8.2401	6.7884	5.7969	3	3
-3.8856	-6.1319	-5.0166	4	4
8.2312	7.4729	5.7550	3	3
7.1357	6.4103	5.7325	3	3
-8.6092	-9.1254	-8.8318	1	1
7.6229	6.0942	6.9392	3	3
-0.5644	1.4190	2.3960	2	2
8.1916	6.9077	5.9845	3	3
8.8478	6.8508	5.7199	3	3
7.7436	7.6763	5.3688	3	3
-9.7297	-8.9662	-8.7849	1	1
8.0218	7.0906	5.8585	3	3
-8.5205	-8.5971	-9.9698	1	1
0.4424	0.2783	1.6928	2	2
-4.2368	-6.3606	-5.3075	4	4
-9.7678	-8.9718	-8.8934	1	1
8.6695	6.7485	5.4894	3	3
-3.2415	-6.0785	-4.3525	4	4
-4.0713	-6.4448	-5.2172	4	4
0.2184	0.9658	2.3541	2	2
8.0269	7.2801	6.0946	3	3
-4.6807	-6.4924	-4.7299	4	4
-4.6273	-6.8633	-5.1375	4	4
7.5871	6.8685	6.3638	3	3
0.0017	1.6116	2.3755	2	2
-4.8235	-6.0696	-5.1556	4	4
-0.6848	1.4111	2.3764	2	2
-4.1827	-5.8955	-5.0415	4	4
-3.4230	-5.8223	-4.9243	4	4
-3.9800	-5.8529	-5.8708	4	4
-0.4089	1.1838	2.7007	2	2
-8.9907	-9.5930	-8.7501	1	1
-9.2312	-9.7259	-8.7366	1	1
-8.3654	-8.8165	-8.5668	1	1
-0.1120	1.7570	2.5389	2	2
-8.9046	-9.7829	-9.2636	1	1
0.2868	0.3377	2.8588	2	2
8.3668	6.9388	6.0374	3	3
-0.0489	0.4187	2.1866	2	2
-4.5121	-5.6886	-5.4832	4	4
-9.4499	-9.1390	-9.7647	1	1
0.6418	1.6240	2.0836	2	2
0.0089	1.4050	1.9320	2	2
8.1433	7.3556	6.0160	3	3
7.4886	6.2075	6.1861	3	3
-4.3832	-6.8187	-5.8205	4	4
-9.3769	-9.3511	-9.4200	1	1
0.4816	0.7957	1.4367	2	2
-3.7059	-5.2110	-4.1288	4	4
-3.9279	-6.0714	-5.1606	4	4
-8.2528	-8.1637	-9.5899	1	1
0.6292	1.4808	2.2343	2	2
8.1854	7.4645	6.5139	3	3
7.9076	7.3619	6.2192	3	3
-0.6617	0.2423	2.7417	2	2
0.9319	1.9987	1.9305	2	2
8.2619	7.8672	5.8228	3	3
8.3342	7.2780	6.3162	3	3
-9.4570	-9.3052	-8.7108	1	1
8.1267	6.9384	6.0249	3	3
-4.1606	-5.4920	-5.2829	4	4
-9.0959	-8.4876	-8.7214	1	1
-8.4704	-8.9088	-8.9547	1	1
0.1758	0.7178	1.4971	2	2
-8.8333	-8.3284	-9.0240	1	1
-4.2344	-6.1155	-5.1369	4	4
-3.6985	-6.4233	-4.7509	4	4
-4.6520	-6.5939	-5.7231	4	4
7.3479	6.9566	5.9286	3	3
7.1492	7.7819	5.8857	3	3
0.3265	1.1880	1.9290	2	2
-9.1348	-9.4708	-9.0979	1	1
