0	1	2	3	4	5	6	7	8	9	10	11	12	label	predict
13.0700	1.5000	2.1000	15.5000	98.0000	2.4000	2.6400	0.2800	1.3700	3.7000	1.1800	2.6900	1020.0000	1	1
13.8200	1.7500	2.4200	14.0000	111.0000	3.8800	3.7400	0.3200	1.8700	7.0500	1.0100	3.2600	1190.0000	1	1
13.4100	3.8400	2.1200	18.8000	90.0000	2.4500	2.6800	0.2700	1.4800	4.2800	0.9100	3.0000	1035.0000	1	1
13.6800	1.8300	2.3600	17.2000	104.0000	2.4200	2.6900	0.4200	1.9700	3.8400	1.2300	2.8700	990.0000	1	1
14.1000	2.0200	2.4000	18.8000	103.0000	2.7500	2.9200	0.3200	2.3800	6.2000	1.0700	2.7500	1060.0000	1	1
13.0500	2.0500	3.2200	25.0000	124.0000	2.6300	2.6800	0.4700	1.9200	3.5800	1.1300	3.2000	830.0000	1	1
13.7700	1.9000	2.6800	17.1000	115.0000	3.0000	2.7900	0.3900	1.6800	6.3000	1.1300	2.9300	1375.0000	1	1
13.8300	1.6500	2.6000	17.2000	94.0000	2.4500	2.9900	0.2200	2.2900	5.6000	1.2400	3.3700	1265.0000	1	1
14.3800	1.8700	2.3800	12.0000	102.0000	3.3000	3.6400	0.2900	2.9600	7.5000	1.2000	3.0000	1547.0000	1	1
14.0200	1.6800	2.2100	16.0000	96.0000	2.6500	2.3300	0.2600	1.9800	4.7000	1.0400	3.5900	1035.0000	1	1
14.3700	1.9500	2.5000	16.8000	113.0000	3.8500	3.4900	0.2400	2.1800	7.8000	0.8600	3.4500	1480.0000	1	1
12.8500	1.6000	2.5200	17.8000	95.0000	2.4800	2.3700	0.2600	1.4600	3.9300	1.0900	3.6300	1015.0000	1	1
13.0500	1.6500	2.5500	18.0000	98.0000	2.4500	2.4300	0.2900	1.4400	4.2500	1.1200	2.5100	1105.0000	1	1
14.2100	4.0400	2.4400	18.9000	111.0000	2.8500	2.6500	0.3000	1.2500	5.2400	0.8700	3.3300	1080.0000	1	1
13.8800	1.8900	2.5900	15.0000	101.0000	3.2500	3.5600	0.1700	1.7000	5.4300	0.8800	3.5600	1095.0000	1	1
13.7500	1.7300	2.4100	16.0000	89.0000	2.6000	2.7600	0.2900	1.8100	5.6000	1.1500	2.9000	1320.0000	1	1
13.7100	1.8600	2.3600	16.6000	101.0000	2.6100	2.8800	0.2700	1.6900	3.8000	1.1100	4.0000	1035.0000	1	1
14.3900	1.8700	2.4500	14.6000	96.0000	2.5000	2.5200	0.3000	1.9800	5.2500	1.0200	3.5800	1290.0000	1	1
