0	1	2	3	4	5	6	7	8	9	10	11	12	label	predict
13.5200	3.1700	2.7200	23.5000	97.0000	1.5500	0.5200	0.5000	0.5500	4.3500	0.8900	2.0600	520.0000	3	1
14.1300	4.1000	2.7400	24.5000	96.0000	2.0500	0.7600	0.5600	1.3500	9.2000	0.6100	1.6000	560.0000	3	1
13.8800	5.0400	2.2300	20.0000	80.0000	0.9800	0.3400	0.4000	0.6800	4.9000	0.5800	1.3300	415.0000	3	1
13.3200	3.2400	2.3800	21.5000	92.0000	1.9300	0.7600	0.4500	1.2500	8.4200	0.5500	1.6200	650.0000	3	1
12.6000	1.3400	1.9000	18.5000	88.0000	1.4500	1.3600	0.2900	1.3500	2.4500	1.0400	2.7700	562.0000	2	1
12.0000	0.9200	2.0000	19.0000	86.0000	2.4200	2.2600	0.3000	1.4300	2.5000	1.3800	3.1200	278.0000	2	1
13.4900	1.6600	2.2400	24.0000	87.0000	1.8800	1.8400	0.2700	1.0300	3.7400	0.9800	2.7800	472.0000	2	1
13.1600	3.5700	2.1500	21.0000	102.0000	1.5000	0.5500	0.4300	1.3000	4.0000	0.6000	1.6800	830.0000	3	1
12.3700	1.0700	2.1000	18.5000	88.0000	3.5200	3.7500	0.2400	1.9500	4.5000	1.0400	2.7700	660.0000	2	1
12.4200	2.5500	2.2700	22.0000	90.0000	1.6800	1.8400	0.6600	1.4200	2.7000	0.8600	3.3000	315.0000	2	1
12.0800	1.8300	2.3200	18.5000	81.0000	1.6000	1.5000	0.5200	1.6400	2.4000	1.0800	2.2700	480.0000	2	1
13.0800	3.9000	2.3600	21.5000	113.0000	1.4100	1.3900	0.3400	1.1400	9.4000	0.5700	1.3300	550.0000	3	1
12.8500	3.2700	2.5800	22.0000	106.0000	1.6500	0.6000	0.6000	0.9600	5.5800	0.8700	2.1100	570.0000	3	1
12.8800	2.9900	2.4000	20.0000	104.0000	1.3000	1.2200	0.2400	0.8300	5.4000	0.7400	1.4200	530.0000	3	1
13.4500	3.7000	2.6000	23.0000	111.0000	1.7000	0.9200	0.4300	1.4600	10.6800	0.8500	1.5600	695.0000	3	1
12.8200	3.3700	2.3000	19.5000	88.0000	1.4800	0.6600	0.4000	0.9700	10.2600	0.7200	1.7500	685.0000	3	1
13.7300	4.3600	2.2600	22.5000	88.0000	1.2800	0.4700	0.5200	1.1500	6.6200	0.7800	1.7500	520.0000	3	1
12.5200	2.4300	2.1700	21.0000	88.0000	2.5500	2.2700	0.2600	1.2200	2.0000	0.9000	2.7800	325.0000	2	1
12.5100	1.2400	2.2500	17.5000	85.0000	2.0000	0.5800	0.6000	1.2500	5.4500	0.7500	1.5100	650.0000	3	1
12.7000	3.8700	2.4000	23.0000	101.0000	2.8300	2.5500	0.4300	1.9500	2.5700	1.1900	3.1300	463.0000	2	1
13.6200	4.9500	2.3500	20.0000	92.0000	2.0000	0.8000	0.4700	1.0200	4.4000	0.9100	2.0500	550.0000	3	1
13.1700	5.1900	2.3200	22.0000	93.0000	1.7400	0.6300	0.6100	1.5500	7.9000	0.6000	1.4800	725.0000	3	1
12.0000	3.4300	2.0000	19.0000	87.0000	2.0000	1.6400	0.3700	1.8700	1.2800	0.9300	3.0500	564.0000	2	1
12.8700	4.6100	2.4800	21.5000	86.0000	1.7000	0.6500	0.4700	0.8600	7.6500	0.5400	1.8600	625.0000	3	1
11.7900	2.1300	2.7800	28.5000	92.0000	2.1300	2.2400	0.5800	1.7600	3.0000	0.9700	2.4400	466.0000	2	1
12.6700	0.9800	2.2400	18.0000	99.0000	2.2000	1.9400	0.3000	1.4600	2.6200	1.2300	3.1600	450.0000	2	1
12.2500	1.7300	2.1200	19.0000	80.0000	1.6500	2.0300	0.3700	1.6300	3.4000	1.0000	3.1700	510.0000	2	1
11.7600	2.6800	2.9200	20.0000	103.0000	1.7500	2.0300	0.6000	1.0500	3.8000	1.2300	2.5000	607.0000	2	1
12.6000	2.4600	2.2000	18.5000	94.0000	1.6200	0.6600	0.6300	0.9400	7.1000	0.7300	1.5800	695.0000	3	1
12.8100	2.3100	2.4000	24.0000	98.0000	1.1500	1.0900	0.2700	0.8300	5.7000	0.6600	1.3600	560.0000	3	1
12.5100	1.7300	1.9800	20.5000	85.0000	2.2000	1.9200	0.3200	1.4800	2.9400	1.0400	3.5700	672.0000	2	1
13.1100	1.9000	2.7500	25.5000	116.0000	2.2000	1.2800	0.2600	1.5600	7.1000	0.6100	1.3300	425.0000	3	1
12.2200	1.2900	1.9400	19.0000	92.0000	2.3600	2.0400	0.3900	2.0800	2.7000	0.8600	3.0200	312.0000	2	1
13.4000	4.6000	2.8600	25.0000	112.0000	1.9800	0.9600	0.2700	1.1100	8.5000	0.6700	1.9200	630.0000	3	1
12.8600	1.3500	2.3200	18.0000	122.0000	1.5100	1.2500	0.2100	0.9400	4.1000	0.7600	1.2900	630.0000	3	1
12.0400	4.3000	2.3800	22.0000	80.0000	2.1000	1.7500	0.4200	1.3500	2.6000	0.7900	2.5700	580.0000	2	1
12.3700	1.6300	2.3000	24.5000	88.0000	2.2200	2.4500	0.4000	1.9000	2.1200	0.8900	2.7800	342.0000	2	1
11.8100	2.1200	2.7400	21.5000	134.0000	1.6000	0.9900	0.1400	1.5600	2.5000	0.9500	2.2600	625.0000	2	1
11.8400	0.8900	2.5800	18.0000	94.0000	2.2000	2.2100	0.2200	2.3500	3.0500	0.7900	3.0800	520.0000	2	1
12.5800	1.2900	2.1000	20.0000	103.0000	1.4800	0.5800	0.5300	1.4000	7.6000	0.5800	1.5500	640.0000	3	1
11.6600	1.8800	1.9200	16.0000	97.0000	1.6100	1.5700	0.3400	1.1500	3.8000	1.2300	2.1400	428.0000	2	1
14.3400	1.6800	2.7000	25.0000	98.0000	2.8000	1.3100	0.5300	2.7000	13.0000	0.5700	1.9600	660.0000	3	1
13.8600	1.5100	2.6700	25.0000	86.0000	2.9500	2.8600	0.2100	1.8700	3.3800	1.3600	3.1600	410.0000	2	1
12.7700	3.4300	1.9800	16.0000	80.0000	1.6300	1.2500	0.4300	0.8300	3.4000	0.7000	2.1200	372.0000	2	1
12.5300	5.5100	2.6400	25.0000	96.0000	1.7900	0.6000	0.6300	1.1000	5.0000	0.8200	1.6900	515.0000	3	1
13.2700	4.2800	2.2600	20.0000	120.0000	1.5900	0.6900	0.4300	1.3500	10.2000	0.5900	1.5600	835.0000	3	1
11.9600	1.0900	2.3000	21.0000	101.0000	3.3800	2.1400	0.1300	1.6500	3.2100	0.9900	3.1300	886.0000	2	1
11.6200	1.9900	2.2800	18.0000	98.0000	3.0200	2.2600	0.1700	1.3500	3.2500	1.1600	2.9600	345.0000	2	1
